IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,42195,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.412-06:00,2026-09-09T23:28:21.412-06:00
17,10.215.173.1,23098,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.416-06:00,2026-09-09T23:28:21.416-06:00
17,10.215.173.1,61025,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.420-06:00,2026-09-09T23:28:21.420-06:00
17,10.215.173.1,51327,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.423-06:00,2026-09-09T23:28:21.423-06:00
17,10.215.173.1,32026,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.427-06:00,2026-09-09T23:28:21.427-06:00
17,10.215.173.1,42906,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.431-06:00,2026-09-09T23:28:21.431-06:00
17,10.215.173.1,1695,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.434-06:00,2026-09-09T23:28:21.434-06:00
17,10.215.173.1,26494,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.437-06:00,2026-09-09T23:28:21.437-06:00
17,10.215.173.1,13524,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.440-06:00,2026-09-09T23:28:21.440-06:00
17,10.215.173.1,60678,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.443-06:00,2026-09-09T23:28:21.443-06:00
17,10.215.173.1,50687,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.447-06:00,2026-09-09T23:28:21.447-06:00
17,10.215.173.1,20377,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.451-06:00,2026-09-09T23:28:21.451-06:00
17,10.215.173.1,47677,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.454-06:00,2026-09-09T23:28:21.454-06:00
17,10.215.173.1,45869,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.457-06:00,2026-09-09T23:28:21.457-06:00
17,10.215.173.1,10940,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.459-06:00,2026-09-09T23:28:21.459-06:00
17,10.215.173.1,44825,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.463-06:00,2026-09-09T23:28:21.463-06:00
17,10.215.173.1,20025,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.466-06:00,2026-09-09T23:28:21.466-06:00
17,10.215.173.1,20785,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.469-06:00,2026-09-09T23:28:21.469-06:00
17,10.215.173.1,42955,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.472-06:00,2026-09-09T23:28:21.472-06:00
17,10.215.173.1,31758,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.475-06:00,2026-09-09T23:28:21.475-06:00
17,10.215.173.1,32994,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.479-06:00,2026-09-09T23:28:21.479-06:00
17,10.215.173.1,28209,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.483-06:00,2026-09-09T23:28:21.483-06:00
17,10.215.173.1,51427,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.486-06:00,2026-09-09T23:28:21.486-06:00
17,10.215.173.1,36126,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.489-06:00,2026-09-09T23:28:21.489-06:00
17,10.215.173.1,35885,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.491-06:00,2026-09-09T23:28:21.491-06:00
17,10.215.173.1,27805,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.495-06:00,2026-09-09T23:28:21.495-06:00
17,10.215.173.1,34117,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.498-06:00,2026-09-09T23:28:21.498-06:00
17,10.215.173.1,60785,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.502-06:00,2026-09-09T23:28:21.502-06:00
17,10.215.173.1,43219,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.504-06:00,2026-09-09T23:28:21.504-06:00
17,10.215.173.1,3114,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.507-06:00,2026-09-09T23:28:21.507-06:00
17,10.215.173.1,59209,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.511-06:00,2026-09-09T23:28:21.511-06:00
17,10.215.173.1,44380,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.514-06:00,2026-09-09T23:28:21.514-06:00
17,10.215.173.1,62038,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.516-06:00,2026-09-09T23:28:21.516-06:00
17,10.215.173.1,10241,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.519-06:00,2026-09-09T23:28:21.519-06:00
17,10.215.173.1,56225,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.522-06:00,2026-09-09T23:28:21.522-06:00
17,10.215.173.1,12435,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.526-06:00,2026-09-09T23:28:21.526-06:00
17,10.215.173.1,18501,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.529-06:00,2026-09-09T23:28:21.529-06:00
17,10.215.173.1,39398,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.532-06:00,2026-09-09T23:28:21.532-06:00
17,10.215.173.1,1438,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.535-06:00,2026-09-09T23:28:21.535-06:00
17,10.215.173.1,35824,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.539-06:00,2026-09-09T23:28:21.539-06:00
17,10.215.173.1,7136,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.541-06:00,2026-09-09T23:28:21.541-06:00
17,10.215.173.1,58850,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.545-06:00,2026-09-09T23:28:21.545-06:00
17,10.215.173.1,57869,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.401-06:00,2026-09-09T23:28:26.401-06:00
17,10.215.173.1,32026,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.405-06:00,2026-09-09T23:28:26.405-06:00
17,10.215.173.1,20958,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.408-06:00,2026-09-09T23:28:26.408-06:00
17,10.215.173.1,38000,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.411-06:00,2026-09-09T23:28:26.411-06:00
17,10.215.173.1,23098,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.415-06:00,2026-09-09T23:28:26.415-06:00
17,10.215.173.1,3776,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.419-06:00,2026-09-09T23:28:26.419-06:00
17,10.215.173.1,42195,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:26.423-06:00,2026-09-09T23:28:26.423-06:00
